ID,Fecha,Hora,Monto,Folio,Estatus,nombre,Exportado,Forma
48113,2018-11-16,09:44:16,350,18CS46383,Pagado,Mostrador,SI,1
48114,2018-11-16,10:32:36,1546,18CS46384,Pagado,Mostrador,SI,1
48115,2018-11-16,10:38:38,575,18CS46385,Pagado,Mostrador,SI,1
48116,2018-11-16,10:40:47,1168,18CS46386,Pagado,Mostrador,SI,1
48117,2018-11-16,10:55:35,50,18CS46387,Pagado,Mostrador,SI,1
48118,2018-11-16,10:58:47,365,18CS46388,Pagado,Mostrador,SI,1
48125,2018-11-16,11:38:18,145,18CS46389,Pagado,Mostrador,SI,1
48128,2018-11-16,11:42:56,60,18CS46390,Pagado,Mostrador,SI,1
48130,2018-11-16,11:55:37,589,18CS46391,Pagado,Mostrador,SI,1
48133,2018-11-16,12:08:36,817,18CS46392,Pagado,Mostrador,SI,1
48135,2018-11-16,12:27:16,200,18CS46393,Pagado,Mostrador,SI,1
48139,2018-11-16,12:41:48,875,18CS46394,Pagado,Mostrador,SI,1
48142,2018-11-16,12:48:50,180,18CS46395,Pagado,Mostrador,SI,1
48145,2018-11-16,12:55:13,1015,18CS46396,Pagado,Mostrador,SI,1
48151,2018-11-16,13:11:33,479,18CS46397,Pagado,Mostrador,SI,1
48159,2018-11-16,13:39:11,375,18CS46398,Pagado,Mostrador,SI,1
48162,2018-11-16,13:41:31,1596,18CS46399,Pagado,Mostrador,SI,1
48165,2018-11-16,13:46:52,498,18CS46400,Pagado,Mostrador,SI,1
48167,2018-11-16,13:50:35,100,18CS46401,Pagado,Mostrador,SI,1
48176,2018-11-16,14:39:14,180,18CS46402,Pagado,Mostrador,SI,1
48178,2018-11-16,14:40:48,285,18CS46403,Pagado,Mostrador,SI,1
48252,2018-11-16,16:14:49,120,18CS46404,Pagado,Mostrador,SI,1
48253,2018-11-16,16:19:25,120,18CS46405,Pagado,Mostrador,SI,1
48254,2018-11-16,16:20:10,1390,18CS46406,Pagado,Mostrador,SI,1
48255,2018-11-16,16:25:06,144,18CS46407,Pagado,Mostrador,SI,1
48256,2018-11-16,16:27:50,1838,18CS46408,Pagado,Mostrador,SI,1
48257,2018-11-16,16:28:57,1649,18CS46409,Pagado,Mostrador,SI,1
48258,2018-11-16,16:47:01,285,18CS46410,Pagado,Mostrador,SI,1
48259,2018-11-16,16:48:21,6832.999816894531,18CS46411,Pagado,Hector Rosales,SI,1
48260,2018-11-16,17:08:41,260,18CS46412,Pagado,Mostrador,SI,1
48261,2018-11-16,17:11:17,712,18CS46413,Pagado,Mostrador,SI,1
48262,2018-11-16,17:15:45,618,18CS46414,Pagado,Mostrador,SI,1
48263,2018-11-16,17:36:40,597,18CS46415,Pagado,Mostrador,SI,1
48264,2018-11-16,17:39:01,310,18CS46416,Pagado,Mostrador,SI,1
48265,2018-11-16,17:50:58,50,18CS46417,Pagado,Mostrador,SI,1
48266,2018-11-16,17:58:39,2580,18CS46418,Pagado,Mostrador,SI,1
48267,2018-11-16,18:00:45,310,18CS46419,Pagado,Mostrador,SI,1
48268,2018-11-16,18:01:41,530,18CS46420,Pagado,Mostrador,SI,1
48269,2018-11-16,18:06:08,310,18CS46421,Pagado,Mostrador,SI,1
48270,2018-11-16,18:21:04,85,18CS46422,Pagado,Mostrador,SI,1
48271,2018-11-16,18:21:32,120,18CS46423,Pagado,Mostrador,SI,1
48272,2018-11-16,18:29:15,180,18CS46424,Pagado,Mostrador,SI,1
48273,2018-11-16,18:29:37,95,18CS46425,Pagado,Mostrador,SI,1
48278,2018-11-16,18:46:17,210,18CS46426,Pagado,Mostrador,SI,1
48282,2018-11-16,18:51:51,215,18CS46427,Pagado,Mostrador,SI,1
48285,2018-11-16,19:01:50,730,18CS46428,Pagado,Mostrador,SI,1
48287,2018-11-16,19:03:47,190,18CS46429,Pagado,Mostrador,SI,1
48300,2018-11-16,19:23:09,530,18CS46430,Pagado,Mostrador,SI,1
48306,2018-11-16,19:43:36,690,18CS46431,Pagado,Mostrador,SI,1
48316,2018-11-16,19:56:40,345,18CS46432,Pagado,Mostrador,SI,1
48317,2018-11-16,20:04:55,959,18CS46433,Pagado,Mostrador,SI,1
48319,2018-11-16,20:09:04,199,18CS46434,Pagado,Mostrador,SI,1
48320,2018-11-16,20:10:10,289,18CS46435,Pagado,Mostrador,SI,1
48326,2018-11-16,20:22:44,885,18CS46436,Pagado,Mostrador,SI,1
48327,2018-11-16,20:24:28,1127,18CS46437,Pagado,Mostrador,SI,1
48329,2018-11-16,20:27:47,195,18CS46438,Pagado,Mostrador,SI,1
48332,2018-11-16,20:29:47,1660,18CS46439,Pagado,Mostrador,SI,1
48337,2018-11-16,20:44:58,125,18CS46440,Pagado,Mostrador,SI,1
48338,2018-11-16,20:51:00,350,18CS46441,Pagado,Mostrador,SI,1
48340,2018-11-16,20:52:40,20,18CS46442,Pagado,Mostrador,SI,1
48346,2018-11-16,21:03:18,1200,18CS46443,Pagado,Mostrador,SI,1
